scenario_id,model_condition,F1_B_kwh,F0_B_kwh,delta_B_kwh,F1_Wc_kwh,F0_Wc_kwh,delta_Wc_kwh,F1_Ws_kwh,F0_Ws_kwh,delta_Ws_kwh,F1_ED_kwh,F0_ED_kwh,delta_ED_kwh,F1_ED_avg_kw,F0_ED_avg_kw,delta_ED_avg_kw,F1_ED_per_soc_gap,F0_ED_per_soc_gap,delta_ED_per_soc_gap,F1_terminal_alignment_kwh,F0_terminal_alignment_kwh,delta_terminal_alignment_kwh,F1_mpc_alignment_kwh,F0_mpc_alignment_kwh,delta_mpc_alignment_kwh,F1_soc_direction_net_energy_kwh,F0_soc_direction_net_energy_kwh,delta_soc_direction_net_energy_kwh,complete_block_exact_repeat
v2e2_12b72852882928644d40,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,True
v2e2_599ab783e7af2d598059,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,True
v2e2_20534de655a33fde87ca,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_20534de655a33fde87ca,qwen_flash,276.0,1288.0,1012.0,0.0,0.0,0.0,0.0,2576.0,2576.0,552.0,0.0,-552.0,24.0,0.0,-24.0,5.52,0.0,-5.52,-290.52631578947285,1065.263157894743,1355.7894736842159,-252.0,945.2500000000005,1197.2500000000005,-276.0,1012.0,1288.0,False
v2e2_01647af4ab413aad9430,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_599ab783e7af2d598059,qwen_flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,True
v2e2_7778cc641046e1b0a2cd,qwen_flash,0.0,256.25,256.25,0.0,512.5,512.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-269.73684210526653,-269.73684210526653,0.0,-250.0,-250.0,0.0,-256.25,-256.25,False
v2e2_7b2e0628b0d7b7a4badd,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,True
v2e2_07ecea8c63a586f9fa3b,qwen_flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,True
v2e2_28d9724eea09520d5cd7,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_12b72852882928644d40,qwen_flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,True
v2e2_7f938d120000eec26457,qwen_flash,1250.0,1250.0,0.0,0.0,2500.0,2500.0,2500.0,0.0,-2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1251.6447368421086,1251.6447368421086,2503.2894736842172,-263.1578947368416,263.1578947368416,526.3157894736833,-1250.0,1250.0,2500.0,False
v2e2_c9b994f593c92dd9efa9,deepseek_formal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
v2e2_1fd8536d13787e44dc17,qwen_flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,True
