tier,block_id,scenario_id,model_condition,run_order,branch_order,event_family,difficulty,season,location_id,activation_step,horizon_intervals,horizon_hours,canonical_soc_kwh,stale_soc_kwh,soc_gap_signed_kwh,soc_gap_abs_kwh,soc_gap_direction,divergence_kwh,B_kwh,Wc_kwh,Ws_kwh,ED_kwh,B_avg_kw,Wc_avg_kw,Ws_avg_kw,ED_avg_kw,B_fraction_pairwise_max,ED_fraction_theoretical_max,B_per_soc_gap,ED_per_soc_gap,B_per_battery_capacity,ED_per_battery_capacity,terminal_alignment_kwh,mpc_alignment_kwh,soc_direction_net_energy_kwh,canonical_minus_stale_net_energy_kwh,block_span_seconds,C_duplicate_start_gap_seconds,S_duplicate_start_gap_seconds,mean_latency_seconds,alignment_power_violation_peak_kw,alignment_power_violation_energy_kwh,alignment_soc_lower_violation_peak_kwh,alignment_soc_lower_violation_sum_kwh_steps,alignment_soc_upper_violation_peak_kwh,alignment_soc_upper_violation_sum_kwh_steps,alignment_export_violation_peak_kw,alignment_export_violation_energy_kwh,alignment_terminal_absolute_error_kwh,alignment_violation_interval_count,alignment_total_violation_energy
F1,e2bv2_02f8e9930d0e0232bdbc,v2e2_a7c71f5aa3db3e32fdd1,qwen_flash,114,C2-S2-C1-S1,power_limit_derating,hard,spring,fresno,4,92,23.0,350.0,250.0,100.0,100.0,canonical_higher,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.028855800628662,2.8120288848876953,1.8064181804656982,1.2371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,e2bv2_063e4dae2070d79d92fc,v2e2_31906e8fff0262a0bd53,deepseek_formal,3,C2-S2-C1-S1,power_limit_derating,medium,autumn,san_diego,4,92,23.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.356633186340332,5.5758280754089355,4.755116939544678,2.5673685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,e2bv2_074dcbf2a80e3ff78303,v2e2_28d9724eea09520d5cd7,qwen_flash,21,S1-C2-S2-C1,reserve_commitment_update,medium,spring,los_angeles,6,90,22.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.99141001701355,2.5783090591430664,2.7419028282165527,1.225165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,e2bv2_0787415782c7e9d8edc2,v2e2_689fd81bd1f3eec1e27d,qwen_flash,47,C1-S1-C2-S2,reserve_commitment_update,easy,autumn,san_diego,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.184892892837524,2.280181884765625,2.1392831802368164,1.0222902500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,e2bv2_07ea54043eaf99939dcb,v2e2_12b72852882928644d40,deepseek_formal,92,C2-S2-C1-S1,forecast_revision,easy,winter,los_angeles,10,86,21.5,300.0,250.0,50.0,50.0,canonical_higher,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,12.368510961532593,6.200350999832153,4.495793104171753,3.0724275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,e2bv2_08881e1bb8b31d73283a,v2e2_ade91af586194aa1b583,qwen_flash,22,S1-C2-S2-C1,battery_capacity_derating,medium,autumn,san_diego,5,91,22.75,300.0,250.0,50.0,50.0,canonical_higher,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,4.651450872421265,1.9491760730743408,2.576601028442383,1.13827575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,e2bv2_096aba26d125a00ae3fa,v2e2_a49aba98f0f44c8c6622,deepseek_formal,37,S2-C1-S1-C2,reserve_commitment_update,hard,autumn,los_angeles,15,81,20.25,300.0,250.0,50.0,50.0,canonical_higher,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,9.519912004470825,6.494410991668701,4.162462949752808,2.36022075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,e2bv2_0a0eaab54b0649123a14,v2e2_581afa30a65d6a5d08a5,deepseek_formal,94,S1-C2-S2-C1,export_limit_update,hard,spring,fresno,6,90,22.5,350.0,250.0,100.0,100.0,canonical_higher,100.0,3.1249999999999996,6.249999999999999,0.0,0.0,0.13888888888888887,0.27777777777777773,0.0,0.0,0.0002777777777777777,0.0,0.031249999999999997,0.0,0.0062499999999999995,0.0,3.2894736842112593,-2.569444444444457,3.1249999999999996,-3.1249999999999996,5.1450560092926025,2.8408219814300537,2.703108072280884,1.2665075000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2894736842112593,0.0,0.0
F1,e2bv2_0a17bfd746dc8ad8a01e,v2e2_ff7d4d179a2e6d483137,qwen_flash,27,S2-C1-S1-C2,export_limit_update,easy,winter,fresno,5,91,22.75,350.0,250.0,100.0,100.0,canonical_higher,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,4.310364007949829,2.045546054840088,1.9589800834655762,1.05407925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1,e2bv2_0bd240f8d29b9618cf8b,v2e2_c4d42554da4b1f44862b,qwen_flash,109,C2-S2-C1-S1,power_limit_derating,hard,winter,fresno,5,91,22.75,350.0,250.0,100.0,100.0,canonical_higher,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3.742284059524536,2.2767748832702637,1.458817958831787,0.9152567500000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
