tier,block_id,scenario_id,model_condition,run_order,branch_order,event_family,difficulty,season,location_id,activation_step,horizon_intervals,horizon_hours,canonical_soc_kwh,stale_soc_kwh,soc_gap_signed_kwh,soc_gap_abs_kwh,soc_gap_direction,divergence_kwh,B_kwh,Wc_kwh,Ws_kwh,ED_kwh,B_avg_kw,Wc_avg_kw,Ws_avg_kw,ED_avg_kw,B_fraction_pairwise_max,ED_fraction_theoretical_max,B_per_soc_gap,ED_per_soc_gap,B_per_battery_capacity,ED_per_battery_capacity,terminal_alignment_kwh,mpc_alignment_kwh,soc_direction_net_energy_kwh,canonical_minus_stale_net_energy_kwh,block_span_seconds,C_duplicate_start_gap_seconds,S_duplicate_start_gap_seconds,mean_latency_seconds,alignment_power_violation_peak_kw,alignment_power_violation_energy_kwh,alignment_soc_lower_violation_peak_kwh,alignment_soc_lower_violation_sum_kwh_steps,alignment_soc_upper_violation_peak_kwh,alignment_soc_upper_violation_sum_kwh_steps,alignment_export_violation_peak_kw,alignment_export_violation_energy_kwh,alignment_terminal_absolute_error_kwh,alignment_violation_interval_count,alignment_total_violation_energy
F0,e2bv2f0_57f38807a7c6370f67c2,v2e2_28d9724eea09520d5cd7,qwen_flash,15,S1-C2-S2-C1,reserve_commitment_update,medium,spring,los_angeles,6,90,22.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.538909912109375,2.293365001678467,2.0970749855041504,1.111914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_61483774ba7c77172be1,v2e2_16b5f26ad506f7afac02,qwen_flash,7,C1-S1-C2-S2,export_limit_update,medium,autumn,san_diego,15,81,20.25,175.0,250.0,-75.0,75.0,canonical_lower,75.0,2500.0,5000.0,2375.0,-2375.0,123.45679012345678,246.91358024691357,117.28395061728395,-117.28395061728395,0.24691358024691357,-0.11728395061728394,33.333333333333336,-31.666666666666668,5.0,-4.75,1314.22697368421,229.6410042368425,1312.5,1312.5,8.135531902313232,3.420665979385376,5.423331022262573,2.0128205,0.0,0.0,126.72697368420995,14456.49671052632,0.0,0.0,91.9453255,320.45180550000003,1314.22697368421,0.0,14776.948516026372
F0,e2bv2f0_763bc376129653691f8c,v2e2_c9b994f593c92dd9efa9,qwen_flash,29,S1-C2-S2-C1,power_limit_derating,hard,autumn,san_diego,5,91,22.75,200.0,250.0,-50.0,50.0,canonical_lower,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.499964952468872,2.1907479763031006,2.27766489982605,1.104114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_7910d2c9c4a8669c3d46,v2e2_1fd8536d13787e44dc17,deepseek_formal,10,C2-S2-C1-S1,battery_capacity_derating,easy,spring,fresno,6,90,22.5,350.0,250.0,100.0,100.0,canonical_higher,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,7.1840150356292725,4.644049882888794,2.4361491203308105,1.77461275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_808d81b0f85717709978,v2e2_07ecea8c63a586f9fa3b,deepseek_formal,2,C2-S2-C1-S1,reserve_commitment_update,hard,spring,fresno,9,87,21.75,350.0,250.0,100.0,100.0,canonical_higher,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8.314839124679565,4.494949102401733,2.2176311016082764,2.0549252499999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_822a44de238adf0e8ad8,v2e2_47a354a03084871e0ca3,qwen_flash,17,S2-C1-S1-C2,export_limit_update,medium,autumn,san_diego,6,90,22.5,200.0,250.0,-50.0,50.0,canonical_lower,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.537240982055664,2.601984977722168,3.5963950157165527,1.3630315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_878d5f12eaa6bb4e1b3e,v2e2_12b72852882928644d40,deepseek_formal,4,C2-S2-C1-S1,forecast_revision,easy,winter,los_angeles,10,86,21.5,300.0,250.0,50.0,50.0,canonical_higher,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,7.249400854110718,3.5055668354034424,2.497663974761963,1.78918825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_87c35364ffbbc8c093ca,v2e2_599ab783e7af2d598059,deepseek_formal,18,C1-S1-C2-S2,reserve_commitment_update,hard,spring,los_angeles,5,91,22.75,300.0,250.0,50.0,50.0,canonical_higher,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,8.716660976409912,4.533368110656738,3.806349992752075,2.1572525000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_a71c38f29300edd14359,v2e2_20534de655a33fde87ca,deepseek_formal,12,S1-C2-S2-C1,export_limit_update,easy,summer,los_angeles,4,92,23.0,150.0,250.0,-100.0,100.0,canonical_lower,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.540430068969727,3.0942788124084473,3.9704110622406006,1.86294875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F0,e2bv2f0_b500cd6c762b1feea5cd,v2e2_20534de655a33fde87ca,qwen_flash,13,S1-C2-S2-C1,export_limit_update,easy,summer,los_angeles,4,92,23.0,150.0,250.0,-100.0,100.0,canonical_lower,100.0,1288.0,0.0,2576.0,0.0,56.0,0.0,112.0,0.0,0.112,0.0,12.88,0.0,2.576,0.0,1065.263157894743,945.2500000000005,1012.0,1012.0,5.268915891647339,2.373784065246582,3.165390968322754,1.2898952500000003,0.0,0.0,1065.263157894743,49524.342105263204,0.0,0.0,39.314741999999995,107.326825125,1065.263157894743,-0.5,49631.66893038823
