scenario_id,model_condition,block_id,branch,carrier,raw_action_digest,raw_action_energy_kwh,authoritative_raw_feasible,D_feasible_set_engineering_kwh,D_feasible_set_status,gate_battery_only_status,gate_battery_only_distance_kwh,gate_battery_only_distance_lower_bound_kwh,gate_battery_only_distance_optimality_gap_kwh,gate_battery_only_global_distance_optimality_proven,gate_battery_only_lp_overlap_intervals,gate_battery_only_selected_mode_source,gate_battery_only_throughput_kwh,gate_battery_only_cost_usd,gate_battery_only_curtailment_kwh,gate_battery_only_curtailment_price_term_usd,gate_battery_only_exact_retained_fraction,gate_battery_only_correlation,gate_battery_only_solve_seconds,gate_battery_only_regret_usd,gate_battery_only_regret_fraction_abs_opt,gate_expanded_system_status,gate_expanded_system_distance_kwh,gate_expanded_system_distance_lower_bound_kwh,gate_expanded_system_distance_optimality_gap_kwh,gate_expanded_system_global_distance_optimality_proven,gate_expanded_system_lp_overlap_intervals,gate_expanded_system_selected_mode_source,gate_expanded_system_throughput_kwh,gate_expanded_system_cost_usd,gate_expanded_system_curtailment_kwh,gate_expanded_system_curtailment_price_term_usd,gate_expanded_system_exact_retained_fraction,gate_expanded_system_correlation,gate_expanded_system_solve_seconds,gate_expanded_system_regret_usd,gate_expanded_system_regret_fraction_abs_opt,expanded_minus_battery_distance_kwh,expanded_distance_reduction_kwh
v2e2_12b72852882928644d40,deepseek_formal,e2bv2_07ea54043eaf99939dcb,S1,stale,334e61fade598d87a35822d34aaa6adec70d9edb5a441ea134552eeb2afd813e,0.0,False,25.263257894736842,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,239.97742193624376,0.0,0.0,0.9767441860465116,,0.01853958299034275,2.579502027474007,0.010865731378207906,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,239.97742193624376,0.0,0.0,0.9767441860465116,,0.017967583000427112,2.579502027474007,0.010865731378207906,0.0,0.0
v2e2_12b72852882928644d40,deepseek_formal,e2bv2_07ea54043eaf99939dcb,S2,stale,334e61fade598d87a35822d34aaa6adec70d9edb5a441ea134552eeb2afd813e,0.0,False,25.263257894736842,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,239.97742193624376,0.0,0.0,0.9767441860465116,,0.01853958299034275,2.579502027474007,0.010865731378207906,global_distance_optimum_lp_integral,26.315889473684212,26.315789473684212,9.999999999976694e-05,True,0,lp_relaxation,26.315889473684212,239.97742193624376,0.0,0.0,0.9767441860465116,,0.017967583000427112,2.579502027474007,0.010865731378207906,0.0,0.0
v2e2_16b5f26ad506f7afac02,deepseek_formal,e2bv2_106f78fe39b79a37486f,C1,canonical,f4bd841308415de6ed2727462cd66a7333ac8155b4e8e95de0220355189c785c,0.0,False,156.8422052631579,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,236.0449239679488,0.0,0.0,0.9506172839506173,,0.015728707978269085,1.6896416317469516,0.007209744175183653,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,236.0449239679488,0.0,0.0,0.9506172839506173,,0.016875417000846937,1.6896416317469516,0.007209744175183653,0.0,0.0
v2e2_16b5f26ad506f7afac02,deepseek_formal,e2bv2_106f78fe39b79a37486f,C2,canonical,f4bd841308415de6ed2727462cd66a7333ac8155b4e8e95de0220355189c785c,0.0,False,156.8422052631579,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,236.0449239679488,0.0,0.0,0.9506172839506173,,0.015728707978269085,1.6896416317469516,0.007209744175183653,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,236.0449239679488,0.0,0.0,0.9506172839506173,,0.016875417000846937,1.6896416317469516,0.007209744175183653,0.0,0.0
v2e2_16b5f26ad506f7afac02,deepseek_formal,e2bv2_106f78fe39b79a37486f,S1,stale,f4bd841308415de6ed2727462cd66a7333ac8155b4e8e95de0220355189c785c,0.0,False,156.8422052631579,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,236.0449239679488,0.0,0.0,0.9506172839506173,,0.015728707978269085,1.6896416317469516,0.007209744175183653,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,236.0449239679488,0.0,0.0,0.9506172839506173,,0.016875417000846937,1.6896416317469516,0.007209744175183653,0.0,0.0
v2e2_16b5f26ad506f7afac02,deepseek_formal,e2bv2_106f78fe39b79a37486f,S2,stale,f4bd841308415de6ed2727462cd66a7333ac8155b4e8e95de0220355189c785c,0.0,False,156.8422052631579,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,236.0449239679488,0.0,0.0,0.9506172839506173,,0.015728707978269085,1.6896416317469516,0.007209744175183653,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,236.0449239679488,0.0,0.0,0.9506172839506173,,0.016875417000846937,1.6896416317469516,0.007209744175183653,0.0,0.0
v2e2_16c288d882ac6a326385,deepseek_formal,e2bv2_a195292ce70a9bd164f5,C1,canonical,c6c9b8650bdf333e657353246bc6f5b02f61950d8990935e2f0e38a63197c80c,0.0,False,130.5264157894737,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,131.57904736842104,131.57894736842104,0.00010000000000331966,True,0,lp_relaxation,131.57904736842104,408.929348319955,0.0,0.0,0.9565217391304348,,0.01915174999157898,1.2139715234275172,0.002977497520367882,global_distance_optimum_lp_integral,131.57904736842104,131.57894736842104,0.00010000000000331966,True,0,lp_relaxation,131.57904736842104,408.929348319955,0.0,0.0,0.9565217391304348,,0.018356916989432648,1.2139715234275172,0.002977497520367882,0.0,0.0
v2e2_16c288d882ac6a326385,deepseek_formal,e2bv2_a195292ce70a9bd164f5,C2,canonical,c6c9b8650bdf333e657353246bc6f5b02f61950d8990935e2f0e38a63197c80c,0.0,False,130.5264157894737,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,131.57904736842104,131.57894736842104,0.00010000000000331966,True,0,lp_relaxation,131.57904736842104,408.929348319955,0.0,0.0,0.9565217391304348,,0.01915174999157898,1.2139715234275172,0.002977497520367882,global_distance_optimum_lp_integral,131.57904736842104,131.57894736842104,0.00010000000000331966,True,0,lp_relaxation,131.57904736842104,408.929348319955,0.0,0.0,0.9565217391304348,,0.018356916989432648,1.2139715234275172,0.002977497520367882,0.0,0.0
v2e2_16c288d882ac6a326385,deepseek_formal,e2bv2_a195292ce70a9bd164f5,S1,stale,c6c9b8650bdf333e657353246bc6f5b02f61950d8990935e2f0e38a63197c80c,0.0,False,130.5264157894737,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,131.57904736842104,131.57894736842104,0.00010000000000331966,True,0,lp_relaxation,131.57904736842104,408.929348319955,0.0,0.0,0.9565217391304348,,0.01915174999157898,1.2139715234275172,0.002977497520367882,global_distance_optimum_lp_integral,131.57904736842104,131.57894736842104,0.00010000000000331966,True,0,lp_relaxation,131.57904736842104,408.929348319955,0.0,0.0,0.9565217391304348,,0.018356916989432648,1.2139715234275172,0.002977497520367882,0.0,0.0
v2e2_16c288d882ac6a326385,deepseek_formal,e2bv2_a195292ce70a9bd164f5,S2,stale,c6c9b8650bdf333e657353246bc6f5b02f61950d8990935e2f0e38a63197c80c,0.0,False,130.5264157894737,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,131.57904736842104,131.57894736842104,0.00010000000000331966,True,0,lp_relaxation,131.57904736842104,408.929348319955,0.0,0.0,0.9565217391304348,,0.01915174999157898,1.2139715234275172,0.002977497520367882,global_distance_optimum_lp_integral,131.57904736842104,131.57894736842104,0.00010000000000331966,True,0,lp_relaxation,131.57904736842104,408.929348319955,0.0,0.0,0.9565217391304348,,0.018356916989432648,1.2139715234275172,0.002977497520367882,0.0,0.0
