model_condition,stratum,level,metric,n,mean,std,median,min,p10,p25,p75,p90,p95,max,positive,zero,negative,trimmed_mean_10pct,trimmed_mean_20pct,mean_drop_largest_1,mean_drop_largest_abs_1,mean_drop_largest_2,mean_drop_largest_abs_2,mean_drop_largest_5,mean_drop_largest_abs_5
deepseek_formal,divergence_kwh,50.0,ED_kwh,20,1137.5,3501.3860037659974,0.0,0.0,0.0,0.0,0.0,1125.000000000016,11262.5,11500.0,2,18,0,0.0,0.0,592.1052631578947,592.1052631578947,0.0,0.0,0.0,0.0
deepseek_formal,divergence_kwh,50.0,ED_avg_kw,20,50.0,153.89675281277312,0.0,0.0,0.0,0.0,0.0,50.00000000000071,500.0,500.0,2,18,0,0.0,0.0,26.31578947368421,26.31578947368421,0.0,0.0,0.0,0.0
deepseek_formal,divergence_kwh,50.0,ED_per_soc_gap,20,22.75,70.02772007531995,0.0,0.0,0.0,0.0,0.0,22.50000000000032,225.25,230.0,2,18,0,0.0,0.0,11.842105263157896,11.842105263157896,0.0,0.0,0.0,0.0
deepseek_formal,divergence_kwh,50.0,soc_direction_net_energy_kwh,20,6.25,1845.3689368681523,0.0,-5625.0,-0.0,0.0,0.0,0.0,287.5000000000041,5750.0,1,18,1,0.0,0.0,-296.05263157894734,-296.05263157894734,-312.5,0.0,-375.0,0.0
deepseek_formal,divergence_kwh,50.0,terminal_alignment_kwh,20,35.42763157894765,1809.3895186577531,0.0,-5212.5,0.0,0.0,0.0,0.0,296.05263157895183,5921.052631578953,1,18,1,0.0,0.0,-274.3421052631579,-274.3421052631579,-289.5833333333333,0.0,-347.5,0.0
deepseek_formal,divergence_kwh,50.0,alignment_total_violation_energy,20,1121.1266447368441,77368.00307926483,0.0,-227015.625,0.0,0.0,0.0,0.0,12471.907894737022,249438.15789473688,1,18,1,0.0,0.0,-11948.190789473685,-11948.190789473685,-12611.979166666666,0.0,-15134.375,0.0
deepseek_formal,divergence_kwh,75.0,ED_kwh,20,1975.0,5657.95899596312,0.0,0.0,0.0,0.0,0.0,5650.000000000009,12075.000000000007,23000.0,3,17,0,312.5,0.0,868.421052631579,868.421052631579,277.77777777777777,277.77777777777777,0.0,0.0
deepseek_formal,divergence_kwh,75.0,ED_avg_kw,20,86.36363636363636,246.28602743055689,0.0,0.0,0.0,0.0,0.0,254.54545454545493,525.0000000000003,1000.0,3,17,0,14.204545454545455,0.0,38.27751196172249,38.27751196172249,12.626262626262626,12.626262626262626,0.0,0.0
deepseek_formal,divergence_kwh,75.0,ED_per_soc_gap,20,26.333333333333336,75.43945327950827,0.0,0.0,0.0,0.0,0.0,75.33333333333346,161.0000000000001,306.6666666666667,3,17,0,4.166666666666667,0.0,11.578947368421053,11.578947368421053,3.703703703703704,3.703703703703704,0.0,0.0
deepseek_formal,divergence_kwh,75.0,soc_direction_net_energy_kwh,20,750.0,2893.9592256975566,0.0,-2250.0,0.0,0.0,0.0,575.0000000000082,6037.500000000004,11500.0,2,17,1,0.0,0.0,184.21052631578948,184.21052631578948,-125.0,-125.0,-150.0,0.0
deepseek_formal,divergence_kwh,75.0,terminal_alignment_kwh,20,-86.4144736842101,1333.1152463909527,0.0,-5162.5,0.0,0.0,0.0,89.01315789473882,972.8289473684291,2544.0789473684226,2,17,1,0.0,0.0,-224.86149584487498,180.7479224376736,-286.80555555555554,49.45175438596531,-344.1666666666667,0.0
deepseek_formal,divergence_kwh,75.0,alignment_total_violation_energy,20,-7886.822368421058,52287.944563109646,0.0,-224840.625,0.0,0.0,0.0,1966.3223684210639,21052.110197368285,47440.953947368485,2,17,1,0.0,0.0,-10798.810595567877,3531.798822714676,-12491.145833333334,1092.4013157894644,-14989.375,0.0
deepseek_formal,divergence_kwh,100.0,ED_kwh,20,407.5013375,1816.5147567479728,0.0,0.0,0.0,0.0,0.0,12.502674999999996,418.15041250000576,8125.0,3,17,0,0.7812499999999998,0.0,1.3171973684210523,1.3171973684210523,0.6944444444444442,0.6944444444444442,0.0,0.0
