model_condition,branch_position,n,mean_latency_seconds,median_latency_seconds,mean_action_energy_kwh,exact_zero_rate
deepseek_formal,1,60,4.1310082,2.405294,376.0416666666667,0.9333333333333333
deepseek_formal,2,60,4.859093466666668,1.8996995,310.72955794166666,0.8833333333333333
deepseek_formal,3,60,6.615657149999999,1.5512839999999999,376.0416666666667,0.9333333333333333
deepseek_formal,4,60,5.778444433333333,1.5792380000000001,402.2918895833334,0.8833333333333333
qwen_flash,1,60,1.3355065666666668,1.2511765000000001,4717.691666666667,0.0
qwen_flash,2,60,1.04642685,0.9808065,4748.708333333333,0.0
qwen_flash,3,60,1.0192586,1.0125715,4565.266666666666,0.0
qwen_flash,4,60,1.0864773166666668,1.015844,4592.88,0.0
