tier,block_id,scenario_id,model_condition,run_order,branch_order,event_family,difficulty,season,location_id,activation_step,horizon_intervals,horizon_hours,canonical_soc_kwh,stale_soc_kwh,soc_gap_signed_kwh,soc_gap_abs_kwh,soc_gap_direction,divergence_kwh,B_kwh,Wc_kwh,Ws_kwh,ED_kwh,B_avg_kw,Wc_avg_kw,Ws_avg_kw,ED_avg_kw,B_fraction_pairwise_max,ED_fraction_theoretical_max,B_per_soc_gap,ED_per_soc_gap,B_per_battery_capacity,ED_per_battery_capacity,terminal_alignment_kwh,mpc_alignment_kwh,soc_direction_net_energy_kwh,canonical_minus_stale_net_energy_kwh,block_span_seconds,C_duplicate_start_gap_seconds,S_duplicate_start_gap_seconds,mean_latency_seconds,alignment_power_violation_peak_kw,alignment_power_violation_energy_kwh,alignment_soc_lower_violation_peak_kwh,alignment_soc_lower_violation_sum_kwh_steps,alignment_soc_upper_violation_peak_kwh,alignment_soc_upper_violation_sum_kwh_steps,alignment_export_violation_peak_kw,alignment_export_violation_energy_kwh,alignment_terminal_absolute_error_kwh,alignment_violation_interval_count,alignment_total_violation_energy
QWEN37_F1,qwen37f1_dedabb5c8f24a1a133ae,v2e2_cd47662d04581b339960,qwen37_plus_direct,18,S1-C2-S2-C1,power_limit_derating,medium,spring,los_angeles,6,90,22.5,200.0,250.0,-50.0,50.0,canonical_lower,50.0,338.60249999999996,310.0049999999999,187.2,180.00000000000006,15.048999999999998,13.777999999999995,8.32,8.000000000000002,0.030097999999999996,0.008000000000000002,6.772049999999999,3.600000000000001,0.677205,0.3600000000000001,-232.58237499999933,-293.4554999999999,338.6025000000001,338.6025000000001,5.5903098583221436,2.971198797225952,3.011924982070923,1.3756415,0.0,0.0,0.0,0.0,-146.8773749999998,-3343.8307500000074,0.0,0.0,-232.58237499999933,-22.5,-3343.8307500000074
QWEN37_F1,qwen37f1_df44c3059311d69be180,v2e2_c4d42554da4b1f44862b,qwen37_plus_direct,34,C2-S2-C1-S1,power_limit_derating,hard,winter,fresno,5,91,22.75,350.0,250.0,100.0,100.0,canonical_higher,100.0,681.135,0.0,18.655,1343.615,29.94,0.0,0.8200000000000001,59.06,0.05988,0.05906,6.81135,13.43615,1.36227,2.68723,-555.8181315789479,-472.31499999999994,681.1350000000001,-681.1350000000001,6.799803972244263,4.072059869766235,3.5724449157714844,1.6785242500000002,0.0,0.0,-383.5526315789476,-10355.92105263159,0.0,0.0,0.0,0.0,-555.8181315789479,-53.0,-10355.921052631591
QWEN37_F1,qwen37f1_e441f463386f128f1075,v2e2_31906e8fff0262a0bd53,qwen37_plus_direct,21,C2-S2-C1-S1,power_limit_derating,medium,autumn,san_diego,4,92,23.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,337.4100000000002,0.0,0.0,674.8200000000004,14.670000000000009,0.0,0.0,29.340000000000018,0.029340000000000015,0.029340000000000015,4.498800000000003,8.997600000000006,0.6748200000000004,1.3496400000000008,-91.77049999999826,-271.3950000000002,337.4100000000002,337.4100000000002,11.752339839935303,9.134920835494995,8.084699869155884,2.9158105,0.0,0.0,0.0,0.0,-31.154999999998495,-141.02999999998588,0.0,0.0,-91.77049999999826,-9.0,-141.02999999998588
QWEN37_F1,qwen37f1_e67624d3f156005e407e,v2e2_01647af4ab413aad9430,qwen37_plus_direct,25,C1-S1-C2-S2,power_limit_derating,hard,winter,sacramento,5,91,22.75,175.0,250.0,-75.0,75.0,canonical_lower,75.0,147.87500000000006,295.75,9.555,-9.554999999999886,6.500000000000003,13.0,0.42,-0.419999999999995,0.013000000000000005,-0.000419999999999995,1.9716666666666673,-0.1273999999999985,0.2957500000000001,-0.019109999999999773,-56.61549999999987,-104.71999999999997,123.75999999999996,123.75999999999996,6.560467958450317,3.757246971130371,2.8395471572875977,1.61613125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.61549999999987,0.0,0.0
QWEN37_F1,qwen37f1_e9279d3fb6c00b84b443,v2e2_f5ed58c9117bb14967a8,qwen37_plus_direct,58,S1-C2-S2-C1,power_limit_derating,medium,spring,fresno,5,91,22.75,150.0,250.0,-100.0,100.0,canonical_lower,100.0,4517.501625,0.0,64.99675,8970.0065,198.5715,0.0,2.857,394.286,0.39714299999999997,0.39428599999999997,45.17501625,89.700065,9.035003249999999,17.940013,-4003.3734562500003,-3995.471335526316,4517.501624999998,4517.501624999998,12.684866905212402,4.230095148086548,8.711408853530884,3.14895525,0.0,0.0,0.0,0.0,-3972.5,-168105.0,0.0,0.0,-4003.3734562500003,-84.0,-168105.0
QWEN37_F1,qwen37f1_ec592705915514026f43,v2e2_c9b994f593c92dd9efa9,qwen37_plus_direct,53,C1-S1-C2-S2,power_limit_derating,hard,autumn,san_diego,5,91,22.75,200.0,250.0,-50.0,50.0,canonical_lower,50.0,147.87500000000003,0.0,295.75,5.684341886080802e-14,6.500000000000001,0.0,13.0,2.4986118180574954e-15,0.013000000000000003,2.498611818057495e-18,2.9575000000000005,1.1368683772161603e-15,0.29575000000000007,1.1368683772161603e-16,134.23113125000089,44.33112499999993,-68.37512499999997,-68.37512499999997,7.308104038238525,4.889708042144775,3.803493022918701,1.8043047499999998,0.0,0.0,0.0,0.0,12.09375,47.25,0.0,0.0,134.23113125000089,3.5,47.25
QWEN37_F1,qwen37f1_ee7f0861126b4b76602e,v2e2_d6ba00286f170447ebbf,qwen37_plus_direct,9,S1-C2-S2-C1,forecast_revision,hard,summer,sacramento,4,92,23.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,2.299999999999992,0.0,4.599999999999984,0.0,0.09999999999999964,0.0,0.1999999999999993,0.0,0.00019999999999999928,0.0,0.030666666666666557,0.0,0.0045999999999999834,0.0,2.1850000000004,1.7499999999997726,-2.299999999999951,-2.299999999999951,12.413623094558716,7.869366884231567,10.011253118515015,3.08002825,0.0,0.0,0.0,0.0,2.1850000000004,18.938125000002685,0.0,0.0,2.1850000000004,0.5,18.938125000002685
QWEN37_F1,qwen37f1_f6a01d8d47b6708952df,v2e2_599ab783e7af2d598059,qwen37_plus_direct,4,C2-S2-C1-S1,reserve_commitment_update,hard,spring,los_angeles,5,91,22.75,300.0,250.0,50.0,50.0,canonical_higher,50.0,2559.375,0.0,5118.75,0.0,112.5,0.0,225.0,0.0,0.225,0.0,51.1875,0.0,5.11875,0.0,2431.40625,2478.7171052631575,2559.375,-2559.375,6.6227171421051025,3.900315999984741,2.7649929523468018,1.630327,0.0,0.0,0.0,0.0,2431.40625,110332.03125,0.0,0.0,2431.40625,15.0,110332.03125
QWEN37_F1,qwen37f1_f89f6500a768ca00cca8,v2e2_12b72852882928644d40,qwen37_plus_direct,62,C2-S2-C1-S1,forecast_revision,easy,winter,los_angeles,10,86,21.5,300.0,250.0,50.0,50.0,canonical_higher,50.0,237.25249999999994,474.5049999999998,0.0,5.684341886080802e-14,11.034999999999997,22.069999999999993,0.0,2.6438799470143262e-15,0.022069999999999996,2.643879947014326e-18,4.745049999999999,1.1368683772161603e-15,0.4745049999999999,1.1368683772161603e-16,72.20237499999996,67.16500000000008,76.00250000000004,-76.00250000000004,8.713937044143677,5.426102876663208,5.588690996170044,2.1578405,0.0,0.0,0.0,0.0,2.125,-1079.84375,0.0,0.0,72.20237499999996,11.5,-1079.84375
QWEN37_F1,qwen37f1_f9e9536ccb06550366dd,v2e2_a66e250328b3cef2064f,qwen37_plus_direct,63,S1-C2-S2-C1,reserve_commitment_update,medium,spring,fresno,5,91,22.75,350.0,250.0,100.0,100.0,canonical_higher,100.0,979.1600000000002,0.0,671.5799999999997,1286.7400000000007,43.040000000000006,0.0,29.519999999999985,56.56000000000003,0.08608000000000002,0.05656000000000003,9.791600000000003,12.867400000000007,1.9583200000000003,2.5734800000000013,-158.79471052631652,-147.9000000000001,979.1600000000002,-979.1600000000002,5.857881784439087,2.97918701171875,3.2982168197631836,1.4437439999999997,0.0,0.0,-408.68421052631527,-12898.421052631556,279.4449999999989,10164.41999999997,0.0,0.0,-158.79471052631652,-27.0,-2734.0010526315855
QWEN37_F1,qwen37f1_fcd31e299a3d8c530bc7,v2e2_ff7d4d179a2e6d483137,qwen37_plus_direct,16,S2-C1-S1-C2,export_limit_update,easy,winter,fresno,5,91,22.75,350.0,250.0,100.0,100.0,canonical_higher,100.0,1146.873,18.746000000000034,0.0,2275.0,50.412,0.8240000000000015,0.0,100.0,0.10082400000000001,0.1,11.46873,22.75,2.293746,4.55,-18.238026315789284,-9.934041551246537,1146.873,-1146.873,8.46711802482605,4.399590969085693,4.626114130020142,2.0952409999999997,0.0,0.0,-333.5505263157894,-8487.313684210525,390.3125,13024.6875,0.0,0.0,-18.238026315789284,15.5,4537.373815789475
