scenario_id,baseline,raw_action_energy_kwh,authoritative_raw_feasible,raw_terminal_error_kwh,raw_total_violation_energy,gate_battery_only_status,gate_battery_only_distance_kwh,gate_battery_only_distance_lower_bound_kwh,gate_battery_only_distance_optimality_gap_kwh,gate_battery_only_global_distance_optimality_proven,gate_battery_only_lp_overlap_intervals,gate_battery_only_selected_mode_source,gate_battery_only_throughput_kwh,gate_battery_only_cost_usd,gate_battery_only_curtailment_kwh,gate_battery_only_solve_seconds,gate_battery_only_regret_usd,gate_battery_only_regret_fraction_abs_opt,gate_battery_only_exact_retained_fraction,gate_expanded_system_status,gate_expanded_system_distance_kwh,gate_expanded_system_distance_lower_bound_kwh,gate_expanded_system_distance_optimality_gap_kwh,gate_expanded_system_global_distance_optimality_proven,gate_expanded_system_lp_overlap_intervals,gate_expanded_system_selected_mode_source,gate_expanded_system_throughput_kwh,gate_expanded_system_cost_usd,gate_expanded_system_curtailment_kwh,gate_expanded_system_solve_seconds,gate_expanded_system_regret_usd,gate_expanded_system_regret_fraction_abs_opt,gate_expanded_system_exact_retained_fraction
v2e2_f5ed58c9117bb14967a8,direct_mpc,334.4078947368421,True,0.0,1.0089706847793423e-12,global_distance_optimum_lp_integral,9.999999999621423e-05,0.0,9.999999999621423e-05,True,0,lp_relaxation,334.4078947368421,365.4413684721182,0.0,0.020682291011326015,0.0,0.0,0.978021978021978,global_distance_optimum_lp_integral,9.999999999621423e-05,0.0,9.999999999621423e-05,True,0,lp_relaxation,334.4078947368421,365.4413684721182,0.0,0.020277124975109473,0.0,0.0,0.978021978021978
v2e2_f60d5d4b26a4ec302fa4,zero,0.0,False,150.0,0.0,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,229.36579975374272,0.0,0.018404833012027666,1.7145758930313946,0.007531590930872658,0.9550561797752809,global_distance_optimum_lp_integral,157.89483684210526,157.89473684210526,0.00010000000000331966,True,0,lp_relaxation,157.89483684210526,229.36579975374272,0.0,0.018796791991917416,1.7145758930313946,0.007531590930872658,0.9550561797752809
v2e2_f60d5d4b26a4ec302fa4,heuristic,157.89473684210517,True,0.0,0.0,global_distance_optimum_lp_integral,0.00010000000000065512,0.0,0.00010000000000065512,True,0,lp_relaxation,157.894736842105,231.75577713304986,0.0,0.016466333996504545,4.104553272338535,0.01803000749449039,0.9775280898876404,global_distance_optimum_lp_integral,0.00010000000000065512,0.0,0.00010000000000065512,True,0,lp_relaxation,157.894736842105,231.75577713304986,0.0,0.016972624987829477,4.104553272338535,0.01803000749449039,0.9775280898876404
v2e2_f60d5d4b26a4ec302fa4,stale_optimal,429.4078947368421,False,75.00000000000006,5174.83552631579,global_distance_optimum_lp_integral,71.25,71.25,0.0,True,0,lp_relaxation,358.1578947368421,227.65122386071133,0.0,0.01916812499985099,0.0,0.0,0.9775280898876404,global_distance_optimum_lp_integral,71.25,71.25,0.0,True,0,lp_relaxation,358.1578947368421,227.65122386071133,0.0,0.01862862499547191,0.0,0.0,0.9775280898876404
v2e2_f60d5d4b26a4ec302fa4,random_static_range,2472.869821612544,False,201.85485677365182,1340.4363975349181,feasible_mode_library_upper_bound,315.4221666152397,200.16709914741335,115.25506746782634,False,72,raw_sign_with_mpc_zero_anchor,2664.629984265463,249.43313443062377,0.0,0.015487249998841435,21.78191056991244,0.09568106070556304,0.8089887640449438,feasible_mode_library_upper_bound,262.13316869032246,146.8781012224962,115.25506746782625,False,72,raw_sign_with_mpc_zero_anchor,2664.6299842654653,250.39168731915385,26.64449896245854,0.015237249986967072,22.74046345844252,0.09989168111108553,0.8539325842696629
v2e2_f60d5d4b26a4ec302fa4,direct_mpc,358.157894736842,True,1.1368683772161603e-13,9.947598300641403e-13,global_distance_optimum_lp_integral,9.059419880941277e-14,0.0,9.059419880941277e-14,True,0,lp_relaxation,358.1578947368421,227.65122386071133,0.0,0.02044300001580268,0.0,0.0,1.0,global_distance_optimum_lp_integral,0.000100000000179562,0.0,0.000100000000179562,True,0,lp_relaxation,358.1578947368421,227.65122386071133,0.0,0.02046104200417176,0.0,0.0,0.9775280898876404
v2e2_ff7d4d179a2e6d483137,zero,0.0,False,25.0,0.0,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,634.0075492734704,0.0,0.022960875008720905,0.21724586938057655,0.0003427724725571664,0.978021978021978,feasible_mode_library_upper_bound,23.7501,0.0,23.7501,False,8,raw_sign_with_mpc_zero_anchor,23.7501,634.0075492734704,0.0,0.02232458401704207,0.21724586938057655,0.0003427724725571664,0.978021978021978
v2e2_ff7d4d179a2e6d483137,heuristic,23.750000000000654,True,0.0,0.0,global_distance_optimum_lp_integral,9.999999999998899e-05,0.0,9.999999999998899e-05,True,0,lp_relaxation,23.750000000001407,634.4413495233977,0.0,0.01680166702135466,0.6510461193078072,0.0010272263804148411,0.978021978021978,global_distance_optimum_lp_integral,9.999999999998899e-05,0.0,9.999999999998899e-05,True,0,lp_relaxation,23.750000000001407,634.4413495233977,0.0,0.016749750007875264,0.6510461193078072,0.0010272263804148411,0.978021978021978
v2e2_ff7d4d179a2e6d483137,stale_optimal,429.40789473684214,False,100.0,0.0,feasible_mode_library_upper_bound,95.0001,0.0,95.0001,False,32,raw_sign_with_mpc_zero_anchor,524.405943454791,633.8275228340776,0.0,0.022634959022980183,0.037219429987771946,5.8725148977297794e-05,0.9560439560439561,feasible_mode_library_upper_bound,95.0001,0.0,95.0001,False,32,raw_sign_with_mpc_zero_anchor,524.405943454791,633.8275228340776,0.0,0.02209112499258481,0.037219429987771946,5.8725148977297794e-05,0.9560439560439561
v2e2_ff7d4d179a2e6d483137,random_static_range,2805.492361460775,False,290.2953769348244,6139.042450863797,feasible_mode_library_upper_bound,275.78070808808354,142.21575370228257,133.56495438580097,False,89,raw_sign_with_mpc_zero_anchor,3081.2710182668075,670.4933586610684,0.0,0.016469917027279735,36.70305525697859,0.05791040831619915,0.9010989010989011,feasible_mode_library_upper_bound,275.78070808808354,142.21575370228248,133.56495438580106,False,89,raw_sign_with_mpc_zero_anchor,3081.2710182668047,670.4933586610684,0.0,0.015783125010784715,36.70305525697859,0.05791040831619915,0.9010989010989011
v2e2_ff7d4d179a2e6d483137,direct_mpc,500.6925207756233,True,0.0,0.0,global_distance_optimum_lp_integral,0.0,0.0,0.0,True,0,lp_relaxation,500.6925207756233,633.7903034040899,0.0,0.020810249989153817,0.0,0.0,1.0,global_distance_optimum_lp_integral,0.0,0.0,0.0,True,0,lp_relaxation,500.6925207756233,633.7903034040899,0.0,0.021422959020128474,0.0,0.0,1.0
