model_condition,branch_position,n,mean_latency_seconds,median_latency_seconds,mean_action_energy_kwh,exact_zero_rate
qwen37_plus_direct,1,60,2.5551554333333337,2.1895545,792.5284420833333,0.016666666666666666
qwen37_plus_direct,2,60,2.1146218833333332,1.6644055,831.052674,0.0
qwen37_plus_direct,3,60,1.5112230833333333,1.281635,934.9053541666667,0.0
qwen37_plus_direct,4,60,1.6997341166666664,1.4903870000000001,593.0200091666667,0.0
