tier,block_id,scenario_id,model_condition,run_order,branch_order,event_family,difficulty,season,location_id,activation_step,horizon_intervals,horizon_hours,canonical_soc_kwh,stale_soc_kwh,soc_gap_signed_kwh,soc_gap_abs_kwh,soc_gap_direction,divergence_kwh,B_kwh,Wc_kwh,Ws_kwh,ED_kwh,B_avg_kw,Wc_avg_kw,Ws_avg_kw,ED_avg_kw,B_fraction_pairwise_max,ED_fraction_theoretical_max,B_per_soc_gap,ED_per_soc_gap,B_per_battery_capacity,ED_per_battery_capacity,terminal_alignment_kwh,mpc_alignment_kwh,soc_direction_net_energy_kwh,canonical_minus_stale_net_energy_kwh,block_span_seconds,C_duplicate_start_gap_seconds,S_duplicate_start_gap_seconds,mean_latency_seconds,alignment_power_violation_peak_kw,alignment_power_violation_energy_kwh,alignment_soc_lower_violation_peak_kwh,alignment_soc_lower_violation_sum_kwh_steps,alignment_soc_upper_violation_peak_kwh,alignment_soc_upper_violation_sum_kwh_steps,alignment_export_violation_peak_kw,alignment_export_violation_energy_kwh,alignment_terminal_absolute_error_kwh,alignment_violation_interval_count,alignment_total_violation_energy
QWEN37_F0,qwen37f0_01edd5e0d8aea97f864a,v2e2_7778cc641046e1b0a2cd,qwen37_plus_direct,2,S2-C1-S1-C2,forecast_revision,hard,autumn,san_diego,14,82,20.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,169.99994000000007,0.0,0.0,339.99988000000013,8.292680000000002,0.0,0.0,16.585360000000005,0.016585360000000007,0.016585360000000007,2.2666658666666675,4.533331733333335,0.33999988000000014,0.6799997600000003,-161.4999430000006,-149.2682400000001,169.99994000000007,169.99994000000007,8.099756956100464,2.9526031017303467,4.841355085372925,2.0029265,0.0,0.0,0.0,0.0,-31.2499430000006,-128.35322200000576,0.0,0.0,-161.4999430000006,-8.0,-128.35322200000576
QWEN37_F0,qwen37f0_1ce6e32bc06aa7dc6f53,v2e2_01647af4ab413aad9430,qwen37_plus_direct,39,C1-S1-C2-S2,power_limit_derating,hard,winter,sacramento,5,91,22.75,175.0,250.0,-75.0,75.0,canonical_lower,75.0,365.8199999999999,0.0,673.8549999999999,57.784999999999854,16.079999999999995,0.0,29.619999999999997,2.539999999999994,0.03215999999999999,0.0025399999999999937,4.877599999999998,0.7704666666666647,0.7316399999999997,0.11556999999999971,213.30612499999958,309.53999999999996,-365.82000000000005,-365.82000000000005,7.1021728515625,3.890955924987793,3.7674829959869385,1.7548622500000002,0.0,0.0,0.0,0.0,192.91756249999992,4861.410937499996,0.0,0.0,213.30612499999958,25.0,4861.410937499998
QWEN37_F0,qwen37f0_2af3869e046374defe64,v2e2_28d9724eea09520d5cd7,qwen37_plus_direct,6,S1-C2-S2-C1,reserve_commitment_update,medium,spring,los_angeles,6,90,22.5,175.0,250.0,-75.0,75.0,canonical_lower,75.0,2386.5857499999997,3811.2000000000003,1499.9174999999998,-537.9460000000006,106.07047777777777,169.38666666666668,66.663,-23.90871111111114,0.21214095555555554,-0.023908711111111137,31.82114333333333,-7.1726133333333415,4.773171499999999,-1.0758920000000012,-301.24910197368445,-670.5784999999998,213.43375000000003,213.43375000000003,13.281214952468872,3.2220351696014404,10.01584005355835,3.29862275,0.0,0.0,0.0,0.0,-637.5320625000011,-48526.04629144734,0.0,0.0,-301.24910197368445,-1.5,-48526.04629144727
QWEN37_F0,qwen37f0_3dc0af9594d02e1dc109,v2e2_12b72852882928644d40,qwen37_plus_direct,32,C2-S2-C1-S1,forecast_revision,easy,winter,los_angeles,10,86,21.5,300.0,250.0,50.0,50.0,canonical_higher,50.0,258.0,516.0,0.0,0.0,12.0,24.0,0.0,0.0,0.024,0.0,5.16,0.0,0.516,0.0,87.33750000000049,85.5,96.75,-96.75,7.232567071914673,3.300718069076538,3.3376519680023193,1.78823525,0.0,0.0,0.0,0.0,2.125,-1079.84375,0.0,0.0,87.33750000000049,11.5,-1079.84375
QWEN37_F0,qwen37f0_435de2ad5ee8eee720d3,v2e2_1fd8536d13787e44dc17,qwen37_plus_direct,50,C2-S2-C1-S1,battery_capacity_derating,easy,spring,fresno,6,90,22.5,350.0,250.0,100.0,100.0,canonical_higher,100.0,1125.0,0.0,0.0,2250.0,50.0,0.0,0.0,100.0,0.1,0.1,11.25,22.5,2.25,4.5,-7.730263157894228,0.0,1125.0,-1125.0,5.788743019104004,2.385640859603882,2.906341075897217,1.42298125,0.0,0.0,-317.1052631578942,-7801.315789473666,424.375,15378.75,0.0,0.0,-7.730263157894228,23.0,7577.434210526334
QWEN37_F0,qwen37f0_67ef0b505bfbf7ac9d4b,v2e2_b7e962716394d888d563,qwen37_plus_direct,67,C2-S2-C1-S1,forecast_revision,easy,autumn,sacramento,5,91,22.75,150.0,250.0,-100.0,100.0,canonical_lower,100.0,2806.44,5118.75,671.5799999999997,-177.4499999999996,123.36,225.0,29.519999999999985,-7.799999999999982,0.24672,-0.007799999999999982,28.0644,-1.774499999999996,5.6128800000000005,-0.35489999999999916,-2477.7182500000004,-2468.407105263158,2717.7149999999997,2717.7149999999997,12.01106595993042,4.134710073471069,3.8386828899383545,2.9800017499999996,0.0,0.0,0.0,0.0,-2442.2737500000003,-106125.79875,0.0,0.0,-2477.7182500000004,-36.0,-106125.79875
QWEN37_F0,qwen37f0_6937c71adb8cfb278b77,v2e2_7f938d120000eec26457,qwen37_plus_direct,38,C2-S2-C1-S1,battery_capacity_derating,easy,summer,los_angeles,8,88,22.0,175.0,250.0,-75.0,75.0,canonical_lower,75.0,178.64000000000001,4.289999999999928,352.9900000000001,0.0,8.120000000000001,0.19499999999999673,16.045000000000005,0.0,0.01624,0.0,2.381866666666667,0.0,0.35728000000000004,0.0,-40.608000000000175,-158.34000000000003,178.64,178.64,7.065971851348877,3.4787089824676514,3.292091131210327,1.74501275,0.0,0.0,0.0,0.0,-37.657999999999674,-365.4222499999927,0.0,0.0,-40.608000000000175,-9.5,-365.4222499999927
QWEN37_F0,qwen37f0_6a190c0d081e6b1e37f7,v2e2_20534de655a33fde87ca,qwen37_plus_direct,73,S2-C1-S1-C2,export_limit_update,easy,summer,los_angeles,4,92,23.0,150.0,250.0,-100.0,100.0,canonical_lower,100.0,199.755,393.19047619047626,37.48999999999998,-31.17047619047625,8.685,17.0952380952381,1.6299999999999992,-1.3552380952380978,0.01737,-0.001355238095238098,1.99755,-0.3117047619047625,0.39951,-0.062340952380952504,-65.18872619047517,-152.14023809523815,184.1697619047619,184.1697619047619,10.559772968292236,3.0306057929992676,2.8182690143585205,2.61691125,0.0,0.0,0.0,0.0,-32.57499999999982,-251.71874999999497,0.0,0.0,-65.18872619047517,-7.5,-251.71874999999497
QWEN37_F0,qwen37f0_790d8a3bd0010dd2deb7,v2e2_16c288d882ac6a326385,qwen37_plus_direct,70,C1-S1-C2-S2,battery_capacity_derating,easy,spring,fresno,4,92,23.0,200.0,250.0,-50.0,50.0,canonical_lower,50.0,64.40000000000002,0.0,0.0,128.80000000000004,2.8000000000000007,0.0,0.0,5.600000000000001,0.005600000000000002,0.005600000000000002,1.2880000000000005,2.576000000000001,0.12880000000000005,0.2576000000000001,61.179999999997676,57.40000000000032,-64.40000000000002,-64.40000000000002,11.362311840057373,8.336594820022583,2.715054988861084,2.8186885000000004,0.0,0.0,0.0,0.0,61.179999999997676,1034.1187499999528,0.0,0.0,61.179999999997676,14.0,1034.1187499999528
QWEN37_F0,qwen37f0_81b93e378ed685d77d0c,v2e2_599ab783e7af2d598059,qwen37_plus_direct,31,C2-S2-C1-S1,reserve_commitment_update,hard,spring,los_angeles,5,91,22.75,300.0,250.0,50.0,50.0,canonical_higher,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,5.64445686340332,2.7894628047943115,2.353363037109375,1.38856175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
