tier,scenario_id,model_condition,block_id,branch,carrier,raw_action_digest,raw_action_energy_kwh,authoritative_raw_feasible,D_feasible_set_engineering_kwh,D_feasible_set_status,gate_battery_only_status,gate_battery_only_distance_kwh,gate_battery_only_distance_lower_bound_kwh,gate_battery_only_distance_optimality_gap_kwh,gate_battery_only_global_distance_optimality_proven,gate_battery_only_lp_overlap_intervals,gate_battery_only_selected_mode_source,gate_battery_only_throughput_kwh,gate_battery_only_cost_usd,gate_battery_only_curtailment_kwh,gate_battery_only_curtailment_price_term_usd,gate_battery_only_exact_retained_fraction,gate_battery_only_correlation,gate_battery_only_solve_seconds,gate_battery_only_regret_usd,gate_battery_only_regret_fraction_abs_opt,gate_expanded_system_status,gate_expanded_system_distance_kwh,gate_expanded_system_distance_lower_bound_kwh,gate_expanded_system_distance_optimality_gap_kwh,gate_expanded_system_global_distance_optimality_proven,gate_expanded_system_lp_overlap_intervals,gate_expanded_system_selected_mode_source,gate_expanded_system_throughput_kwh,gate_expanded_system_cost_usd,gate_expanded_system_curtailment_kwh,gate_expanded_system_curtailment_price_term_usd,gate_expanded_system_exact_retained_fraction,gate_expanded_system_correlation,gate_expanded_system_solve_seconds,gate_expanded_system_regret_usd,gate_expanded_system_regret_fraction_abs_opt,expanded_minus_battery_distance_kwh,expanded_distance_reduction_kwh
F1,v2e2_a66e250328b3cef2064f,qwen37_plus_direct,qwen37f1_f9e9536ccb06550366dd,S1,stale,51a7d900bc708785e8bab99c312e63e8c1694470251bed9226b7a31e49a41aac,746.2000000000003,False,731.7070252077568,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,728.6748119113573,479.6921156373194,248.98269627403795,False,89,lp_net_sign_with_mpc_zero_anchor,829.145336806592,192.1405329534318,0.0,0.0,0.5604395604395604,,0.01525545900221914,6.434942266187932,0.034651311478421466,feasible_mode_library_upper_bound,752.2596567867038,479.69211563731926,272.5675411493845,False,89,lp_net_sign_with_mpc_zero_anchor,368.9384919312436,188.048986193404,0.0,0.0,0.24175824175824176,,0.014139541977783665,2.3433955061601353,0.012618874302533872,23.584844875346448,-23.584844875346448
F1,v2e2_a66e250328b3cef2064f,qwen37_plus_direct,qwen37f1_f9e9536ccb06550366dd,S2,stale,918246868d17cbd03a144a3c7c589fa5c8f1d110ca61b465767dfb46d5f5a368,74.61999999999999,False,97.18025000000029,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,98.1302500000003,0.0,98.1302500000003,False,31,direct_mpc_sign,28.428298717943065,189.0185461862442,0.0,0.0,0.01098901098901099,,0.014478957979008555,3.3129554990003385,0.017839826398010027,feasible_mode_library_upper_bound,98.13025000000029,0.0,98.13025000000029,False,31,direct_mpc_sign,28.428298717943065,189.01854618624418,0.0,0.0,0.01098901098901099,,0.014091707998886704,3.31295549900031,0.017839826398009875,-1.4210854715202004e-14,1.4210854715202004e-14
F1,v2e2_a7c71f5aa3db3e32fdd1,qwen37_plus_direct,qwen37f1_9fa481f802e4a10b7994,C1,canonical,472104ca527305691d2de1580fd6c2aed00f12dc0eeb755556a43ff731a2acdd,3565.0,False,3540.3,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,3541.2500051248358,3541.25,5.124835752212675e-06,True,0,lp_relaxation,23.7501,372.0494829294436,0.0,0.0,0.0,,0.02181466601905413,2.0662094986568604,0.00558460245917952,global_distance_optimum_lp_integral,3541.2500051248358,3541.25,5.124835752212675e-06,True,0,lp_relaxation,23.7501,372.0494829294436,0.0,0.0,0.0,,0.023256624990608543,2.0662094986568604,0.00558460245917952,0.0,0.0
F1,v2e2_a7c71f5aa3db3e32fdd1,qwen37_plus_direct,qwen37f1_9fa481f802e4a10b7994,C2,canonical,472104ca527305691d2de1580fd6c2aed00f12dc0eeb755556a43ff731a2acdd,3565.0,False,3540.3,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,3541.2500051248358,3541.25,5.124835752212675e-06,True,0,lp_relaxation,23.7501,372.0494829294436,0.0,0.0,0.0,,0.02181466601905413,2.0662094986568604,0.00558460245917952,global_distance_optimum_lp_integral,3541.2500051248358,3541.25,5.124835752212675e-06,True,0,lp_relaxation,23.7501,372.0494829294436,0.0,0.0,0.0,,0.023256624990608543,2.0662094986568604,0.00558460245917952,0.0,0.0
F1,v2e2_a7c71f5aa3db3e32fdd1,qwen37_plus_direct,qwen37f1_9fa481f802e4a10b7994,S1,stale,23cd904e05dc77458353892d5f14d947eba44b207c53c72781ee8e10c1307fa8,37.48999999999998,False,60.01198125000022,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,60.961981250000235,0.0,60.961981250000235,False,31,direct_mpc_sign,29.175029967946948,372.02659883583385,0.0,0.0,0.05434782608695652,,0.013325000007171184,2.043325405047085,0.005522750761405252,feasible_mode_library_upper_bound,60.961981250000235,0.0,60.961981250000235,False,31,direct_mpc_sign,29.175029967946948,372.02659883583385,0.0,0.0,0.05434782608695652,,0.013735000015003607,2.043325405047085,0.005522750761405252,0.0,0.0
F1,v2e2_a7c71f5aa3db3e32fdd1,qwen37_plus_direct,qwen37f1_9fa481f802e4a10b7994,S2,stale,7059773acbe60fd02ac1225d4b51dd3fd0a86b52252614bb8ab37b5b3e19f129,364.78,False,369.11181745152373,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,370.16444903047096,207.0467542706957,163.11769475977528,False,88,lp_net_sign_with_mpc_zero_anchor,382.1136996874781,373.00946613211704,0.0,0.0,0.5108695652173914,,0.015522959001827985,3.026192701330274,0.008179268952536546,feasible_mode_library_upper_bound,370.16444903047096,207.0467542706957,163.11769475977528,False,88,lp_net_sign_with_mpc_zero_anchor,382.1136996874781,373.00946613211704,0.0,0.0,0.5108695652173914,,0.01518216700060293,3.026192701330274,0.008179268952536546,0.0,0.0
F1,v2e2_aa86ae40329fa58392a5,qwen37_plus_direct,qwen37f1_1763a30013826fd5f5e2,C1,canonical,60c1df00999f8abcebf046b162947f09ad3a928401cd492ec36cb93039be04ce,259.375,False,234.67509999999996,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,235.62509999999995,235.62499999999994,0.00010000000000331966,True,0,lp_relaxation,23.750100000000018,247.99989476286822,0.0,0.0,0.07228915662650602,,0.014833124994765967,7.918611752692414,0.032983044964637186,global_distance_optimum_lp_integral,235.62509999999995,235.62499999999994,0.00010000000000331966,True,0,lp_relaxation,23.750100000000018,247.99989476286822,0.0,0.0,0.07228915662650602,,0.014626832999056205,7.918611752692414,0.032983044964637186,0.0,0.0
F1,v2e2_aa86ae40329fa58392a5,qwen37_plus_direct,qwen37f1_1763a30013826fd5f5e2,C2,canonical,ff6c45c51d89fc555c432443d67acbd3fc1ffaa48ff4630abb77f03d4ecdaf91,32.370000000000005,False,7.670099999999678,global_distance_optimum_lp_integral_distance_focus,global_distance_optimum_lp_integral,8.620099999999697,8.619999999999694,0.00010000000000331966,True,0,lp_relaxation,23.750000000000306,248.39655985500934,0.0,0.0,0.7108433734939759,,0.015023833984741941,8.315276844833534,0.034635256612157855,global_distance_optimum_lp_integral,8.620099999999697,8.619999999999694,0.00010000000000331966,True,0,lp_relaxation,23.750000000000306,248.39655985500934,0.0,0.0,0.7108433734939759,,0.01608387500164099,8.315276844833534,0.034635256612157855,0.0,0.0
F1,v2e2_aa86ae40329fa58392a5,qwen37_plus_direct,qwen37f1_1763a30013826fd5f5e2,S1,stale,62eb2190324b17cdcd34d30015898812cf80f9795e84c9de2e72299b06e32324,20.75,False,43.428225000000054,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,44.37822500000006,0.0,44.37822500000006,False,14,direct_mpc_sign,26.126273717948507,247.904396928762,0.0,0.0,0.03614457831325301,,0.013325124979019165,7.823113918586188,0.03258527203994743,feasible_mode_library_upper_bound,44.37822500000006,0.0,44.37822500000006,False,14,direct_mpc_sign,26.126273717948507,247.904396928762,0.0,0.0,0.03614457831325301,,0.012209916982101277,7.823113918586188,0.03258527203994743,0.0,0.0
F1,v2e2_aa86ae40329fa58392a5,qwen37_plus_direct,qwen37f1_1763a30013826fd5f5e2,S2,stale,63e83f7998715ac5812485df3583f54725795ca1797686649e728aaca5bfce5c,25.9375,False,48.58525625,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,49.53525625,0.0,49.53525625,False,16,direct_mpc_sign,26.72080496794868,247.89486905316824,0.0,0.0,0.03614457831325301,,0.01296849999926053,7.813586042992426,0.032545585999143666,feasible_mode_library_upper_bound,49.53525625,0.0,49.53525625,False,16,direct_mpc_sign,26.72080496794868,247.89486905316824,0.0,0.0,0.03614457831325301,,0.013230667012976483,7.813586042992426,0.032545585999143666,0.0,0.0
F1,v2e2_ac2a6bbea5f71d8219ff,qwen37_plus_direct,qwen37f1_1fc5085e99faac2363ac,C1,canonical,96769223ed0062c1308d45a96931dc55e72b616c828dbc5673c7ad947baed1a2,374.9124999999999,False,215.96523157894714,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,217.01786315789448,0.0,217.01786315789448,False,69,raw_sign_with_mpc_zero_anchor,157.89473684210535,189.89537866494138,0.0,0.0,0.4044943820224719,,0.015639166987966746,5.875920341737839,0.03193097292688274,feasible_mode_library_upper_bound,217.01786315789448,0.0,217.01786315789448,False,69,raw_sign_with_mpc_zero_anchor,157.89473684210535,189.89537866494138,0.0,0.0,0.4044943820224719,,0.01588762499159202,5.875920341737839,0.03193097292688274,0.0,0.0
F1,v2e2_ac2a6bbea5f71d8219ff,qwen37_plus_direct,qwen37f1_1fc5085e99faac2363ac,C2,canonical,de276c4bbad9cfa3ebed5062125e0ecbf1b680489ab3633b079f6708790c574e,389.375,False,230.42773157894737,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,231.48036315789474,0.0,231.48036315789474,False,74,raw_sign_with_mpc_zero_anchor,157.89473684210526,189.76164702079237,0.0,0.0,0.39325842696629215,,0.015540334017714486,5.74218869758883,0.031204247365534066,feasible_mode_library_upper_bound,231.48036315789474,0.0,231.48036315789474,False,74,raw_sign_with_mpc_zero_anchor,157.89473684210526,189.76164702079237,0.0,0.0,0.39325842696629215,,0.01429824999650009,5.74218869758883,0.031204247365534066,0.0,0.0
F1,v2e2_ac2a6bbea5f71d8219ff,qwen37_plus_direct,qwen37f1_1fc5085e99faac2363ac,S1,stale,e775a4ac54ab3a72c9cdb0dd548eec9af716b52be786d407836b3c8ea2692fca,556.25,False,387.0395736842105,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,388.0922052631579,121.37812089356088,266.714084369597,False,88,lp_net_sign_with_mpc_zero_anchor,358.155943454791,190.0296050158191,0.0,0.0,0.47191011235955055,,0.0159939999866765,6.010146692615564,0.03266038682746045,feasible_mode_library_upper_bound,388.0922052631579,121.37812089356088,266.714084369597,False,88,lp_net_sign_with_mpc_zero_anchor,358.155943454791,190.0296050158191,0.0,0.0,0.47191011235955055,,0.015126791986403987,6.010146692615564,0.03266038682746045,0.0,0.0
F1,v2e2_ac2a6bbea5f71d8219ff,qwen37_plus_direct,qwen37f1_1fc5085e99faac2363ac,S2,stale,e775a4ac54ab3a72c9cdb0dd548eec9af716b52be786d407836b3c8ea2692fca,556.25,False,387.0395736842105,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,388.0922052631579,121.37812089356088,266.714084369597,False,88,lp_net_sign_with_mpc_zero_anchor,358.155943454791,190.0296050158191,0.0,0.0,0.47191011235955055,,0.0159939999866765,6.010146692615564,0.03266038682746045,feasible_mode_library_upper_bound,388.0922052631579,121.37812089356088,266.714084369597,False,88,lp_net_sign_with_mpc_zero_anchor,358.155943454791,190.0296050158191,0.0,0.0,0.47191011235955055,,0.015126791986403987,6.010146692615564,0.03266038682746045,0.0,0.0
F1,v2e2_ade91af586194aa1b583,qwen37_plus_direct,qwen37f1_8f159fe10d063d56228e,C1,canonical,f72bb749a2ec5fe51da0e86ac561e25e004d96d08380645768afc4adbe8be69c,568.75,False,518.2895736842105,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,519.3422052631579,252.30781865965815,267.03438660349974,False,88,lp_net_sign_with_mpc_zero_anchor,476.9059434547912,455.1689917933428,0.0,0.0,0.46153846153846156,,0.015214207989629358,1.8189361740560912,0.004012211207455091,feasible_mode_library_upper_bound,519.3422052631579,252.30781865965815,267.03438660349974,False,88,lp_net_sign_with_mpc_zero_anchor,476.9059434547912,455.1689917933428,0.0,0.0,0.46153846153846156,,0.014959792024455965,1.8189361740560912,0.004012211207455091,0.0,0.0
F1,v2e2_ade91af586194aa1b583,qwen37_plus_direct,qwen37f1_8f159fe10d063d56228e,C2,canonical,f72bb749a2ec5fe51da0e86ac561e25e004d96d08380645768afc4adbe8be69c,568.75,False,518.2895736842105,feasible_mode_library_upper_bound_distance_focus,feasible_mode_library_upper_bound,519.3422052631579,252.30781865965815,267.03438660349974,False,88,lp_net_sign_with_mpc_zero_anchor,476.9059434547912,455.1689917933428,0.0,0.0,0.46153846153846156,,0.015214207989629358,1.8189361740560912,0.004012211207455091,feasible_mode_library_upper_bound,519.3422052631579,252.30781865965815,267.03438660349974,False,88,lp_net_sign_with_mpc_zero_anchor,476.9059434547912,455.1689917933428,0.0,0.0,0.46153846153846156,,0.014959792024455965,1.8189361740560912,0.004012211207455091,0.0,0.0
