scenario_id,event_family,difficulty,model_condition,block_id,branch,objective_order,status,physical_cost_usd,distance_kwh,throughput_kwh,curtailment_kwh,retained_fraction,runtime_seconds,cost_optimum_usd,stage1_seconds,stage2_seconds
v2e2_20534de655a33fde87ca,export_limit_update,easy,qwen37_plus_direct,qwen37f1_d559ea0106d370f9fb5f,C1,cost_then_distance,optimal,292.85031549875174,1045.866162671213,684.8684210526316,0.0,0.0,0.04135233399574645,0.7258489302631581,0.011229458003072068,0.028146291995653883
v2e2_20534de655a33fde87ca,export_limit_update,easy,qwen_flash,e2bv2_385ceed2777d1604128f,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,299.270759815251,3634.2105314406253,184.21062631578948,0.0,0.0,0.01589283300563693,,,
v2e2_20534de655a33fde87ca,export_limit_update,easy,qwen_flash,e2bv2_385ceed2777d1604128f,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,299.270759815251,3634.2105314406253,184.21062631578948,0.0,0.0,0.016990792006254196,,,
v2e2_20534de655a33fde87ca,export_limit_update,easy,qwen_flash,e2bv2_385ceed2777d1604128f,C1,direct_cost_optimal,optimal,292.85031449875174,3817.3684210526317,684.8684210526316,0.0,0.0,0.010613709018798545,,,
v2e2_20534de655a33fde87ca,export_limit_update,easy,qwen_flash,e2bv2_385ceed2777d1604128f,C1,cost_then_distance,optimal,292.85031549875174,3692.3682880269416,684.8684210526316,0.0,0.043478260869565216,0.03859608300263062,0.7258489302631581,0.010738291020970792,0.02591804097755812
v2e2_12b72852882928644d40,forecast_revision,easy,deepseek_formal,e2bv2_07ea54043eaf99939dcb,C1,distance_throughput_cost_saved,global_distance_optimum_lp_integral,239.97742193624376,26.315889473684212,26.315889473684212,0.0,0.9767441860465116,0.01853958299034275,,,
v2e2_12b72852882928644d40,forecast_revision,easy,deepseek_formal,e2bv2_07ea54043eaf99939dcb,C1,minimum_intervention_distance_only,global_distance_optimum_lp_integral_distance_focus,239.97742193624376,26.315889473684212,26.315889473684212,0.0,0.9767441860465116,0.018604875018354505,,,
v2e2_12b72852882928644d40,forecast_revision,easy,deepseek_formal,e2bv2_07ea54043eaf99939dcb,C1,direct_cost_optimal,optimal,237.39791990876975,476.9078947368421,476.9078947368421,0.0,0.8953488372093024,0.015021291008451954,,,
v2e2_12b72852882928644d40,forecast_revision,easy,deepseek_formal,e2bv2_07ea54043eaf99939dcb,C1,cost_then_distance,optimal,237.39792090876975,476.90771186493396,476.90771186493396,0.0,0.8953488372093024,0.027248333004536107,-1.6613447085526305,0.015175208012806252,0.010215417016297579
v2e2_12b72852882928644d40,forecast_revision,easy,qwen37_plus_direct,qwen37f1_f89f6500a768ca00cca8,C1,distance_throughput_cost_saved,feasible_mode_library_upper_bound,241.09575356810984,487.4828302631579,488.7965684547912,0.0,0.4883720930232558,0.01352704199962318,,,
