scenario_id,event_family,difficulty,degradation_cost_per_kwh,terminal_tolerance_kwh,status,physical_cost_usd,throughput_kwh,runtime_seconds
v2e2_1fd8536d13787e44dc17,battery_capacity_derating,easy,0.02,1.0,optimal,282.45225175528174,523.3552631578947,0.015449208003701642
v2e2_20534de655a33fde87ca,export_limit_update,easy,0.0,0.0,optimal,287.37136713033067,684.8684210526316,0.010969291994115338
v2e2_20534de655a33fde87ca,export_limit_update,easy,0.0,1.0,optimal,287.30296447033066,685.8184210526315,0.013630957982968539
v2e2_20534de655a33fde87ca,export_limit_update,easy,0.008,0.0,optimal,292.85031449875174,684.8684210526316,0.010866917000385001
v2e2_20534de655a33fde87ca,export_limit_update,easy,0.008,1.0,optimal,292.7895118387517,685.8184210526315,0.017396625014953315
v2e2_20534de655a33fde87ca,export_limit_update,easy,0.02,0.0,optimal,300.18812210401484,334.4078947368421,0.010766584018711
v2e2_20534de655a33fde87ca,export_limit_update,easy,0.02,1.0,optimal,300.13368736717274,333.35526315789474,0.014827083010459319
v2e2_25e030e6613f44a39649,export_limit_update,hard,0.0,0.0,optimal,180.13918366825672,1678.6430921052631,0.015965041995514184
v2e2_25e030e6613f44a39649,export_limit_update,hard,0.0,1.0,optimal,180.12165896125674,1679.5930921052632,0.01630858299904503
v2e2_25e030e6613f44a39649,export_limit_update,hard,0.008,0.0,optimal,191.0783230011558,684.9030470914128,0.017962834011996165
v2e2_25e030e6613f44a39649,export_limit_update,hard,0.008,1.0,optimal,191.06114665378738,683.8504155124654,0.01717845900566317
v2e2_25e030e6613f44a39649,export_limit_update,hard,0.02,0.0,optimal,195.50547123758238,358.1578947368421,0.015842499997233972
v2e2_25e030e6613f44a39649,export_limit_update,hard,0.02,1.0,optimal,195.47566331126657,357.10526315789474,0.01851791702210903
v2e2_28d9724eea09520d5cd7,reserve_commitment_update,medium,0.0,0.0,optimal,252.2661017163592,1526.6188699300553,0.01147258299170062
v2e2_28d9724eea09520d5cd7,reserve_commitment_update,medium,0.0,1.0,optimal,252.2659159689908,1525.566238351108,0.010383957996964455
v2e2_28d9724eea09520d5cd7,reserve_commitment_update,medium,0.008,0.0,optimal,259.2298962322629,663.5592105263158,0.011413458996685222
v2e2_28d9724eea09520d5cd7,reserve_commitment_update,medium,0.008,1.0,optimal,259.22128943226284,662.5065789473684,0.01064787499490194
v2e2_28d9724eea09520d5cd7,reserve_commitment_update,medium,0.02,0.0,optimal,261.73513890232863,187.93421052631578,0.01215262501500547
v2e2_28d9724eea09520d5cd7,reserve_commitment_update,medium,0.02,1.0,optimal,261.7139005233812,186.88157894736844,0.01091895898571238
v2e2_31906e8fff0262a0bd53,power_limit_derating,medium,0.0,0.0,optimal,342.95788589651715,1551.8317174515237,0.011406709003495052
v2e2_31906e8fff0262a0bd53,power_limit_derating,medium,0.0,1.0,optimal,342.8638358965171,1552.7817174515237,0.012662583001656458
v2e2_31906e8fff0262a0bd53,power_limit_derating,medium,0.008,0.0,optimal,349.8029217884839,708.6184210526316,0.009261875005904585
v2e2_31906e8fff0262a0bd53,power_limit_derating,medium,0.008,1.0,optimal,349.71647178848383,709.5684210526316,0.015535583021119237
v2e2_31906e8fff0262a0bd53,power_limit_derating,medium,0.02,0.0,optimal,358.30634284111545,708.6184210526316,0.009329499996965751
v2e2_31906e8fff0262a0bd53,power_limit_derating,medium,0.02,1.0,optimal,358.2312928411154,709.5684210526316,0.012772916990797967
v2e2_394e89f7d166924e9409,export_limit_update,easy,0.0,0.0,optimal,670.4854455204945,1559.7368421052631,0.018844958016416058
v2e2_394e89f7d166924e9409,export_limit_update,easy,0.0,1.0,optimal,670.4286487444946,1560.6868421052632,0.015338416997110471
v2e2_394e89f7d166924e9409,export_limit_update,easy,0.008,0.0,optimal,677.9822207198366,358.1578947368421,0.014031500002602115
v2e2_394e89f7d166924e9409,export_limit_update,easy,0.008,1.0,optimal,677.9174681198366,357.10526315789474,0.01502595900092274
v2e2_394e89f7d166924e9409,export_limit_update,easy,0.02,0.0,optimal,682.2801154566787,358.1578947368421,0.013530374999390915
v2e2_394e89f7d166924e9409,export_limit_update,easy,0.02,1.0,optimal,682.2027312777313,357.10526315789474,0.01555041701067239
v2e2_4029a98e7ae402335d31,export_limit_update,medium,0.0,0.0,optimal,195.8039819853242,1886.481994459834,0.027326875017024577
v2e2_4029a98e7ae402335d31,export_limit_update,medium,0.0,1.0,optimal,195.7726319853242,1887.431994459834,0.024262749997433275
v2e2_4029a98e7ae402335d31,export_limit_update,medium,0.008,0.0,optimal,200.57978121132828,358.1578947368421,0.0159739590017125
v2e2_4029a98e7ae402335d31,export_limit_update,medium,0.008,1.0,optimal,200.54234596922302,357.10526315789474,0.01004166601342149
v2e2_4029a98e7ae402335d31,export_limit_update,medium,0.02,0.0,optimal,202.63480713238093,157.89473684210526,0.011883708008099347
v2e2_4029a98e7ae402335d31,export_limit_update,medium,0.02,1.0,optimal,202.58631760606514,156.8421052631579,0.011153208004543558
v2e2_47a354a03084871e0ca3,export_limit_update,medium,0.0,0.0,optimal,230.82448068543528,1583.4868421052631,0.022090832993853837
v2e2_47a354a03084871e0ca3,export_limit_update,medium,0.0,1.0,optimal,230.78161363593523,1584.4368421052632,0.02147295800386928
v2e2_47a354a03084871e0ca3,export_limit_update,medium,0.008,0.0,optimal,237.7805126735931,381.9078947368421,0.01790725000319071
v2e2_47a354a03084871e0ca3,export_limit_update,medium,0.008,1.0,optimal,237.73870475780365,380.85526315789474,0.014120166975772008
v2e2_47a354a03084871e0ca3,export_limit_update,medium,0.02,0.0,optimal,240.75559084464572,131.57894736842104,0.017276041995501146
v2e2_47a354a03084871e0ca3,export_limit_update,medium,0.02,1.0,optimal,240.7017694656984,130.52631578947367,0.02307512500556186
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,0.0,0.0,optimal,258.13628757540863,2060.7250952458453,0.018589167011668906
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,0.0,1.0,optimal,258.12181114290865,2061.675095245845,0.014164916996378452
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,0.008,0.0,optimal,265.50670848974346,456.3184210526316,0.012102790991775692
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,0.008,1.0,optimal,265.48860265816455,455.2657894736842,0.010171332978643477
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,0.02,0.0,optimal,270.4666425886909,23.75,0.011058000003686175
v2e2_4bc783ae8ece976241af,reserve_commitment_update,easy,0.02,1.0,optimal,270.43829354369086,24.700000000000003,0.009225166984833777
v2e2_579d7046347071a2967e,battery_capacity_derating,easy,0.0,0.0,optimal,473.93086561858195,1565.7763157894738,0.015169499994954094
v2e2_579d7046347071a2967e,battery_capacity_derating,easy,0.0,1.0,optimal,473.8847556965819,1566.7263157894736,0.017600958002731204
v2e2_579d7046347071a2967e,battery_capacity_derating,easy,0.008,0.0,optimal,482.0568135321346,524.4078947368421,0.014811667002504691
v2e2_579d7046347071a2967e,battery_capacity_derating,easy,0.008,1.0,optimal,482.0069863637135,523.3552631578948,0.014113499986706302
v2e2_579d7046347071a2967e,battery_capacity_derating,easy,0.02,0.0,optimal,482.7983647268714,23.75,0.009353541012387723
v2e2_579d7046347071a2967e,battery_capacity_derating,easy,0.02,1.0,optimal,482.75339119487137,24.700000000000003,0.00943887498578988
v2e2_57ed2833756fcc2a81f4,export_limit_update,easy,0.0,0.0,optimal,1072.8924773134645,1185.5263157894738,0.015285500005120412
v2e2_57ed2833756fcc2a81f4,export_limit_update,easy,0.0,1.0,optimal,1072.8185910713592,1184.4736842105262,0.015117291011847556
