tier,scenario_id,block_id,model_condition,branch,gate_type,gate_status,battery_correction_l1_kwh,curtailment_introduced_kwh,sign_change_intervals,zero_to_active_intervals,post_gate_feasible,post_gate_cost_usd,runtime_seconds,rescue_mechanism,expanded_distance_reduction_kwh
F1,v2e2_12b72852882928644d40,e2bv2_07ea54043eaf99939dcb,deepseek_formal,S1,expanded_system,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,239.97742193624376,0.017967583000427112,battery_action_and_mode_correction,0.0
F1,v2e2_12b72852882928644d40,e2bv2_07ea54043eaf99939dcb,deepseek_formal,S2,battery_only,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,239.97742193624376,0.01853958299034275,battery_action_and_mode_correction,0.0
F1,v2e2_12b72852882928644d40,e2bv2_07ea54043eaf99939dcb,deepseek_formal,S2,expanded_system,global_distance_optimum_lp_integral,26.315889473684212,0.0,0,2,True,239.97742193624376,0.017967583000427112,battery_action_and_mode_correction,0.0
F1,v2e2_16b5f26ad506f7afac02,e2bv2_106f78fe39b79a37486f,deepseek_formal,C1,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,236.0449239679488,0.015728707978269085,battery_action_and_mode_correction,0.0
F1,v2e2_16b5f26ad506f7afac02,e2bv2_106f78fe39b79a37486f,deepseek_formal,C1,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,236.0449239679488,0.016875417000846937,battery_action_and_mode_correction,0.0
F1,v2e2_16b5f26ad506f7afac02,e2bv2_106f78fe39b79a37486f,deepseek_formal,C2,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,236.0449239679488,0.015728707978269085,battery_action_and_mode_correction,0.0
F1,v2e2_16b5f26ad506f7afac02,e2bv2_106f78fe39b79a37486f,deepseek_formal,C2,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,236.0449239679488,0.016875417000846937,battery_action_and_mode_correction,0.0
F1,v2e2_16b5f26ad506f7afac02,e2bv2_106f78fe39b79a37486f,deepseek_formal,S1,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,236.0449239679488,0.015728707978269085,battery_action_and_mode_correction,0.0
F1,v2e2_16b5f26ad506f7afac02,e2bv2_106f78fe39b79a37486f,deepseek_formal,S1,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,236.0449239679488,0.016875417000846937,battery_action_and_mode_correction,0.0
F1,v2e2_16b5f26ad506f7afac02,e2bv2_106f78fe39b79a37486f,deepseek_formal,S2,battery_only,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,236.0449239679488,0.015728707978269085,battery_action_and_mode_correction,0.0
F1,v2e2_16b5f26ad506f7afac02,e2bv2_106f78fe39b79a37486f,deepseek_formal,S2,expanded_system,global_distance_optimum_lp_integral,157.89483684210526,0.0,0,4,True,236.0449239679488,0.016875417000846937,battery_action_and_mode_correction,0.0
F1,v2e2_16c288d882ac6a326385,e2bv2_a195292ce70a9bd164f5,deepseek_formal,C1,battery_only,global_distance_optimum_lp_integral,131.57904736842104,0.0,0,4,True,408.929348319955,0.01915174999157898,battery_action_and_mode_correction,0.0
F1,v2e2_16c288d882ac6a326385,e2bv2_a195292ce70a9bd164f5,deepseek_formal,C1,expanded_system,global_distance_optimum_lp_integral,131.57904736842104,0.0,0,4,True,408.929348319955,0.018356916989432648,battery_action_and_mode_correction,0.0
